Data,Total de confirmados,Casos Autoctones,Casos Importados,Total Descartados,Aguardando,Total de Notificacoes,Norte,Sul,Central,Leste,Oeste
16/02/2024,1238,1207,0,937,358,2533,315,172,113,457,181
14/02/2024,1048,1017,0,383,775,2206,287,136,90,393,142
09/02/2024,939,908,0,0,725,1981,271,117,84,345,122
07/02/2024,918,887,0,0,663,1898,268,112,82,340,116
05/02/2024,857,826,31,317,559,1733,256,93,80,323,105
29/01/2024,654,625,28,269,275,1197,201,65,57,258,72
26/01/2024,527,506,21,221,239,987,178,53,38,218,40
22/01/2024,387,369,18,129,212,728,150,35,27,156,19
12/01/2024,162,158,0,26,92,260,75,13,9,62,3
10/01/2024,128,124,4,16,77,221,58,9,2,52,7
29/12/2023,409,349,0,1202,32,1643,219,49,41,70,30
27/12/2023,380,320,60,1150,76,1606,204,48,40,60,0
18/12/2023,327,268,0,0,42,1513,170,0,0,44,0
13/12/2023,317,258,59,1144,27,1488,164,0,0,40,0
06/12/2023,295,237,0,1115,36,1446,147,0,0,35,0
01/11/2023,247,189,0,1049,29,1325,103,0,0,0,0
26/10/2023,246,188,0,1044,0,1313,102,46,39,31,28
17/10/2023,236,178,0,1014,23,1273,98,0,38,29,26
28/09/2023,212,154,58,968,11,1191,69,0,0,38,0
06/09/2023,205,149,0,942,6,1153,68,45,0,32,24
28/08/2023,0,0,0,933,5,1138,0,0,0,0,0
22/08/2023,200,144,0,924,11,1135,67,0,0,0,23
14/08/2023,197,141,0,0,14,1122,65,0,0,0,0
10/08/2023,196,140,56,911,11,1118,0,44,0,30,0
01/08/2023,191,136,55,903,0,1098,64,0,36,27,0
24/07/2023,186,133,53,899,4,1089,62,42,34,26,22
26/06/2023,174,126,48,871,10,1055,0,0,30,25,0
19/06/2023,168,123,0,846,20,1034,59,0,27,0,21
14/06/2023,165,120,45,834,25,1024,57,39,24,0,23
05/06/2023,158,115,43,778,45,981,55,0,0,22,0
30/05/2023,154,110,44,763,36,963,52,0,0,0,0
25/05/2023,152,109,43,732,51,936,50,38,0,21,20
22/05/2023,145,104,41,716,37,898,48,35,23,20,0
18/05/2023,132,98,38,689,54,880,45,32,0,19,19
15/05/2023,131,95,36,662,51,845,43,31,22,18,18
11/05/2023,128,94,34,609,77,814,0,0,0,0,0
