Data,Casos confirmados,Descartados,Obitos Confirmados,Em quarentena,Internados UTI,Internados Enfermaria
04/07/2022,49156,153442,0,967,2,4
02/07/2022,48841,152719,354,1038,1,6
30/06/2022,48630,152132,353,1061,0,0
29/06/2022,48445,151546,0,1144,0,5
28/06/2022,48185,150830,0,1150,0,0
27/06/2022,47890,149999,0,1072,0,6
25/06/2022,47802,149729,0,0,0,0
24/06/2022,47569,149046,0,1157,3,0
23/06/2022,47302,148347,0,966,0,4
22/06/2022,47034,147644,0,734,0,3
21/06/2022,46820,146996,0,693,5,7
20/06/2022,46515,146272,0,574,0,10
15/06/2022,46112,145211,0,1027,5,8
14/06/2022,45939,144595,0,1079,0,11
13/06/2022,45667,143778,0,1108,0,0
10/06/2022,45334,143590,0,1402,3,10
09/06/2022,45085,142944,0,1438,0,0
08/06/2022,44860,142242,0,1572,0,6
07/06/2022,44559,141377,0,1587,0,8
06/06/2022,44074,140438,0,1702,0,5
04/06/2022,43932,140182,0,1682,0,0
03/06/2022,43647,139503,0,1702,0,13
02/06/2022,43283,138779,351,1703,1,11
01/06/2022,42967,138014,0,1717,0,0
31/05/2022,42608,137169,0,1719,0,0
30/05/2022,42099,136107,350,1547,2,10
27/05/2022,41587,135781,0,1557,0,11
26/05/2022,41249,134884,0,1432,0,0
25/05/2022,40888,133989,0,1255,0,0
24/05/2022,40551,133170,348,1082,0,8
23/05/2022,40118,132122,0,859,1,5
20/05/2022,39820,131920,0,1005,0,4
19/05/2022,39636,131409,0,1042,0,5
18/05/2022,39472,131010,0,1103,2,4
17/05/2022,39262,130386,0,1093,0,3
16/05/2022,38987,129600,347,905,0,4
13/05/2022,38599,129433,0,934,0,6
12/05/2022,38358,128819,0,815,1,5
11/05/2022,38158,128223,0,766,0,6
10/05/2022,37976,127637,0,715,0,0
09/05/2022,37706,126918,345,576,0,7
06/05/2022,37543,126823,344,616,0,5
05/05/2022,37392,126392,0,550,0,6
04/05/2022,37261,125933,0,498,0,5
03/05/2022,37130,125390,0,460,0,0
02/05/2022,36978,124708,0,537,0,2
29/04/2022,36836,124630,343,393,0,3
28/04/2022,36726,124129,0,0,0,0
27/04/2022,36664,123805,0,256,0,0
26/04/2022,36589,123376,0,240,0,0
25/04/2022,36477,122781,342,173,0,0
20/04/2022,36354,122682,0,188,0,0
19/04/2022,36309,122274,0,165,0,0
18/04/2022,36210,121764,0,109,0,0
13/04/2022,36135,121713,0,154,0,0
12/04/2022,36101,121384,0,147,0,0
11/04/2022,36051,120899,0,117,0,0
10/04/2022,36047,120884,0,141,0,0
09/04/2022,36039,120856,0,284,0,0
08/04/2022,36000,120572,0,107,0,0
07/04/2022,35981,120306,0,90,0,1
06/04/2022,35954,119970,0,89,0,2
05/04/2022,35934,119632,0,95,0,0
04/04/2022,35902,119179,0,72,0,0
03/04/2022,35898,119141,341,93,0,0
02/04/2022,35896,119118,0,92,0,0
01/04/2022,35885,118880,0,101,0,0
31/03/2022,35869,118620,0,85,0,3
30/03/2022,35843,118270,0,81,0,0
29/03/2022,35829,117919,340,95,0,0
28/03/2022,0,117484,0,0,1,0
27/03/2022,35805,117445,0,105,0,0
26/03/2022,35804,117402,0,109,0,0
25/03/2022,35784,117130,0,125,2,2
24/03/2022,35762,116819,0,139,0,0
23/03/2022,35734,116464,0,156,0,0
22/03/2022,35705,116116,0,157,0,0
21/03/2022,35668,115658,0,182,0,3
20/03/2022,35664,115619,0,188,0,2
19/03/2022,35659,115594,0,199,1,3
18/03/2022,35623,115332,0,203,0,0
17/03/2022,35578,115045,0,198,2,2
16/03/2022,35548,114743,0,220,1,0
15/03/2022,35502,114439,0,224,0,0
14/03/2022,35451,114030,0,227,0,3
13/03/2022,35436,113985,0,242,0,4
12/03/2022,35420,113936,0,263,0,0
11/03/2022,35380,113696,0,260,1,0
10/03/2022,35328,113437,0,285,2,0
09/03/2022,35278,113117,0,325,0,0
08/03/2022,35224,112839,0,400,0,0
07/03/2022,35153,112422,339,397,0,5
06/03/2022,35139,112370,0,398,0,6
05/03/2022,35120,112273,0,402,0,0
04/03/2022,35054,111918,0,445,0,0
03/03/2022,34964,111514,338,495,0,0
02/03/2022,34835,111164,337,534,0,7
27/02/2022,34741,110893,0,798,0,0
26/02/2022,34718,110855,0,904,0,0
25/02/2022,34609,110422,336,927,0,12
24/02/2022,34469,109905,0,1023,3,0
23/02/2022,34301,109337,335,1153,0,13
22/02/2022,34109,108768,0,1301,4,10
21/02/2022,33821,107886,333,1361,5,12
20/02/2022,33760,107695,0,1568,0,0
19/02/2022,33682,107509,0,1738,2,11
18/02/2022,33433,106949,0,1747,3,0
17/02/2022,33160,106317,0,1854,0,10
16/02/2022,32807,105597,332,1913,4,12
15/02/2022,32460,104883,331,2038,5,10
14/02/2022,31860,103848,0,1978,0,9
13/02/2022,31770,103685,0,2087,0,8
12/02/2022,31686,103477,0,2336,0,10
11/02/2022,31306,102697,0,2282,4,9
10/02/2022,30894,101917,0,2226,3,0
09/02/2022,30424,101131,330,2158,0,10
08/02/2022,29884,100470,329,2019,0,0
07/02/2022,29338,99712,328,1876,4,9
06/02/2022,29179,99517,0,1850,5,11
05/02/2022,29027,99309,0,1980,4,0
04/02/2022,28669,98741,327,1892,3,13
03/02/2022,28280,98123,0,1644,0,0
02/02/2022,27861,97509,0,1658,0,9
01/02/2022,27455,96904,326,1772,0,7
31/01/2022,26870,95924,0,1759,0,0
30/01/2022,26770,95758,325,2332,0,0
29/01/2022,26609,95462,324,2534,4,6
28/01/2022,26196,94702,0,2473,0,10
27/01/2022,25673,93907,0,2168,0,11
26/01/2022,25101,93097,0,2026,0,8
25/01/2022,24533,92296,0,1936,2,9
24/01/2022,23815,91217,0,2033,0,12
22/01/2022,23505,90821,0,2561,0,6
21/01/2022,23075,89988,0,2486,1,5
20/01/2022,22616,89151,0,2396,0,0
19/01/2022,22112,88305,0,2247,0,0
18/01/2022,21689,87459,0,2081,0,4
17/01/2022,21075,86308,0,1547,0,0
15/01/2022,21021,86175,0,1608,0,3
14/01/2022,20511,84857,0,1194,0,0
13/01/2022,20086,83687,0,897,0,1
12/01/2022,19765,82848,0,725,0,2
11/01/2022,19453,81937,0,512,0,3
10/01/2022,19175,81146,323,259,0,2
07/01/2022,19049,80976,0,194,0,0
06/01/2022,19007,80853,0,178,0,3
05/01/2022,18959,80684,0,144,0,2
04/01/2022,18934,80564,0,127,1,1
03/01/2022,18890,80383,0,94,0,0
31/12/2021,18864,80216,0,92,0,0
30/12/2021,18851,79989,0,79,0,0
29/12/2021,18829,79829,0,118,0,0
28/12/2021,18814,79729,0,109,0,0
27/12/2021,18791,79602,0,90,0,0
23/12/2021,18777,79538,0,100,0,0
22/12/2021,18769,79465,0,97,0,0
21/12/2021,18750,79393,0,79,0,0
20/12/2021,18697,79206,0,33,0,0
17/12/2021,18689,79159,0,0,0,0
16/12/2021,18686,79087,0,39,0,0
15/12/2021,18678,79040,0,0,0,0
14/12/2021,18676,78982,0,33,0,0
13/12/2021,18670,78915,0,27,0,0
10/12/2021,18661,78828,0,30,0,0
09/12/2021,18658,78744,0,35,0,0
08/12/2021,18649,78660,0,30,0,0
07/12/2021,18646,78576,0,28,0,0
06/12/2021,18643,78522,0,25,0,0
03/12/2021,18638,78496,0,27,0,0
02/12/2021,18634,78425,0,24,0,0
01/12/2021,18631,78330,0,22,0,0
30/11/2021,18621,78206,0,13,0,0
29/11/2021,18616,78075,0,0,0,0
26/11/2021,18613,78058,0,0,0,0
25/11/2021,18611,77984,0,12,0,0
24/11/2021,18610,77865,0,11,0,0
23/11/2021,18608,77811,0,0,0,0
22/11/2021,0,77714,322,9,0,0
19/11/2021,18606,77478,322,0,0,0
18/11/2021,18604,77399,0,20,0,2
17/11/2021,18600,77274,0,16,0,0
16/11/2021,18598,77145,321,17,1,3
12/11/2021,18594,77012,0,15,3,4
11/11/2021,18590,76940,0,12,0,0
10/11/2021,18588,76842,0,13,0,0
09/11/2021,18584,76723,0,10,0,3
08/11/2021,18583,76657,0,9,0,4
05/11/2021,18580,76549,0,10,2,0
04/11/2021,18578,76465,0,9,0,0
03/11/2021,18575,76266,0,6,1,3
28/10/2021,18571,75990,0,0,0,0
27/10/2021,18570,75877,0,0,0,0
26/10/2021,0,75771,0,8,2,0
25/10/2021,0,75662,0,0,3,0
22/10/2021,18569,75444,0,12,0,0
21/10/2021,18567,75315,0,10,0,0
20/10/2021,18565,75216,0,8,0,0
19/10/2021,18562,75063,0,7,4,2
18/10/2021,18558,74910,319,16,6,0
17/10/2021,18557,0,0,0,0,0
16/10/2021,0,74810,0,15,0,0
15/10/2021,0,74789,0,0,0,0
14/10/2021,18557,74684,0,0,7,0
13/10/2021,18554,74597,0,15,6,1
12/10/2021,0,0,0,17,8,0
11/10/2021,0,74469,0,18,0,0
10/10/2021,0,0,0,19,0,0
09/10/2021,0,74425,0,21,0,0
08/10/2021,18541,74354,318,20,7,0
07/10/2021,0,74228,318,0,6,0
06/10/2021,18540,74072,0,30,0,1
05/10/2021,18539,73994,0,36,8,0
04/10/2021,18533,73899,0,33,9,0
03/10/2021,0,0,316,0,10,0
02/10/2021,18531,73702,0,41,11,2
01/10/2021,18523,73571,315,33,11,3
30/09/2021,18520,73400,0,44,0,4
29/09/2021,18512,73233,0,64,14,5
27/09/2021,18492,72889,0,65,11,5
26/09/2021,0,0,0,90,0,6
25/09/2021,18471,72742,0,99,11,5
24/09/2021,18451,72568,314,89,12,0
23/09/2021,18436,72418,0,79,14,3
22/09/2021,18418,72299,312,80,16,0
21/09/2021,18402,72167,0,119,0,2
20/09/2021,18383,72047,311,142,14,0
19/09/2021,0,0,310,144,0,1
18/09/2021,18360,71923,0,159,0,2
17/09/2021,18344,71666,0,160,0,5
16/09/2021,18320,71559,308,147,15,6
15/09/2021,18300,71364,0,134,17,9
14/09/2021,18262,71214,305,104,18,8
13/09/2021,18228,71102,304,85,16,0
12/09/2021,0,0,0,98,15,0
11/09/2021,18198,70955,0,107,14,0
10/09/2021,18185,70876,0,104,0,11
09/09/2021,18163,70742,300,103,0,10
08/09/2021,18138,70626,300,90,13,6
07/09/2021,18135,70593,0,146,12,9
06/09/2021,18091,70447,299,113,0,7
05/09/2021,0,0,297,108,0,0
04/09/2021,18076,70418,0,119,0,8
03/09/2021,18054,70260,0,107,0,6
02/09/2021,18035,70114,0,117,13,5
01/09/2021,18027,69985,0,139,0,0
31/08/2021,18000,69891,296,147,12,6
30/08/2021,17979,69762,295,132,11,9
29/08/2021,0,0,0,162,0,7
28/08/2021,17943,69640,0,179,10,5
27/08/2021,17925,69518,0,180,0,7
26/08/2021,17892,69265,0,188,0,8
